job,marital,education,default,housing,loan,y
housemaid,married,basic.4y,no,no,no,no
services,married,high.school,unknown,no,no,no
services,married,high.school,no,yes,no,no
admin.,married,basic.6y,no,no,no,no
services,married,high.school,no,no,yes,no
services,married,basic.9y,unknown,no,no,no
admin.,married,professional.course,no,no,no,no
blue-collar,married,unknown,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
services,single,high.school,no,yes,no,no
blue-collar,married,unknown,unknown,no,no,no
services,single,high.school,no,yes,no,no
blue-collar,single,high.school,no,no,yes,no
housemaid,divorced,basic.4y,no,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
retired,married,basic.9y,unknown,yes,yes,no
blue-collar,married,basic.6y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,yes,no
blue-collar,married,basic.9y,no,yes,yes,no
management,single,basic.9y,unknown,no,no,no
unemployed,married,high.school,no,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
retired,single,high.school,no,yes,no,no
technician,single,high.school,no,yes,no,no
admin.,married,high.school,no,yes,no,no
technician,married,university.degree,no,no,yes,no
technician,married,unknown,no,yes,no,no
self-employed,married,basic.9y,unknown,no,no,no
technician,single,university.degree,unknown,no,no,no
unknown,married,university.degree,unknown,unknown,unknown,no
admin.,married,unknown,no,no,no,no
technician,married,unknown,no,yes,no,no
blue-collar,married,unknown,no,no,no,no
management,married,basic.4y,unknown,yes,no,no
blue-collar,divorced,basic.4y,no,no,no,no
unknown,married,basic.4y,unknown,yes,no,no
services,married,high.school,no,no,no,no
technician,married,basic.9y,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
technician,married,basic.4y,no,yes,no,no
management,unknown,university.degree,no,yes,no,no
entrepreneur,married,high.school,no,yes,no,no
admin.,single,professional.course,no,no,no,no
admin.,married,university.degree,no,no,yes,no
admin.,married,university.degree,unknown,yes,no,no
technician,single,professional.course,unknown,no,no,no
admin.,married,university.degree,no,yes,yes,no
blue-collar,married,basic.9y,no,no,yes,no
admin.,married,university.degree,no,yes,no,no
blue-collar,married,basic.9y,no,yes,no,no
admin.,married,high.school,no,no,no,no
housemaid,married,basic.4y,no,no,yes,no
admin.,married,high.school,no,no,no,no
admin.,single,professional.course,no,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
technician,married,professional.course,unknown,yes,no,no
management,married,university.degree,unknown,no,yes,no
services,married,high.school,unknown,yes,no,no
unemployed,married,professional.course,unknown,yes,yes,no
technician,single,university.degree,no,yes,no,no
entrepreneur,married,university.degree,unknown,no,no,no
blue-collar,married,basic.9y,no,yes,no,no
blue-collar,married,basic.6y,unknown,yes,no,no
blue-collar,married,basic.6y,unknown,no,no,no
admin.,married,high.school,no,no,no,no
admin.,married,university.degree,no,no,no,no
blue-collar,single,basic.9y,no,yes,no,no
admin.,married,unknown,no,yes,no,no
admin.,married,basic.9y,no,yes,no,no
blue-collar,single,basic.4y,unknown,yes,yes,no
management,married,basic.6y,no,no,no,no
management,divorced,university.degree,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
unknown,married,unknown,unknown,no,no,no
admin.,married,university.degree,unknown,yes,no,no
blue-collar,divorced,basic.4y,unknown,yes,no,yes
technician,married,university.degree,no,no,no,no
services,married,high.school,unknown,yes,no,no
management,married,unknown,unknown,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,unknown,unknown,no
admin.,married,high.school,unknown,no,no,no
entrepreneur,married,university.degree,unknown,yes,no,yes
technician,single,university.degree,no,no,yes,no
admin.,divorced,high.school,no,no,no,no
management,married,basic.6y,no,no,no,no
admin.,married,university.degree,no,yes,yes,no
technician,married,basic.9y,no,no,no,yes
admin.,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,no,no
unknown,married,unknown,unknown,yes,no,no
admin.,married,unknown,unknown,no,yes,no
unemployed,married,basic.9y,no,no,no,no
blue-collar,married,basic.6y,no,no,yes,no
services,married,professional.course,no,yes,no,no
management,married,university.degree,no,no,no,no
admin.,divorced,university.degree,unknown,no,no,no
technician,single,professional.course,no,no,no,no
blue-collar,married,basic.6y,no,no,no,no
services,married,unknown,no,yes,no,no
blue-collar,married,basic.4y,no,no,no,no
services,married,unknown,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
services,single,high.school,unknown,no,no,no
housemaid,married,basic.6y,no,yes,no,no
admin.,married,high.school,no,yes,no,no
entrepreneur,married,unknown,unknown,yes,no,no
technician,married,unknown,unknown,yes,yes,no
retired,divorced,university.degree,unknown,no,no,no
unemployed,married,basic.4y,unknown,no,no,no
services,divorced,high.school,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,no
management,married,university.degree,no,no,no,no
blue-collar,married,high.school,no,no,no,no
admin.,divorced,university.degree,no,no,no,no
blue-collar,divorced,unknown,unknown,yes,no,no
admin.,married,unknown,no,yes,no,no
blue-collar,divorced,basic.4y,unknown,yes,no,no
blue-collar,married,high.school,unknown,yes,no,no
blue-collar,divorced,high.school,no,no,no,no
services,married,high.school,no,no,no,no
technician,married,high.school,no,yes,no,no
admin.,married,university.degree,no,yes,yes,no
admin.,married,university.degree,no,no,yes,no
admin.,married,basic.6y,no,no,no,no
technician,divorced,professional.course,no,yes,yes,no
retired,married,basic.4y,no,yes,no,no
technician,married,professional.course,unknown,yes,no,yes
blue-collar,married,basic.6y,no,yes,yes,no
technician,married,professional.course,unknown,no,no,no
blue-collar,married,unknown,no,yes,no,no
blue-collar,married,basic.6y,no,yes,no,no
management,married,university.degree,no,no,no,no
management,divorced,university.degree,no,no,no,no
housemaid,married,basic.4y,unknown,no,no,no
blue-collar,married,basic.4y,unknown,no,no,no
services,married,high.school,no,yes,no,no
blue-collar,married,basic.9y,unknown,yes,no,yes
unemployed,single,university.degree,no,yes,no,no
management,married,unknown,no,yes,no,no
management,married,university.degree,no,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
unknown,divorced,high.school,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,yes,no,no
blue-collar,married,basic.4y,unknown,no,no,no
admin.,single,high.school,no,yes,no,no
admin.,married,university.degree,unknown,yes,no,no
blue-collar,married,basic.4y,no,yes,no,no
blue-collar,married,basic.9y,unknown,no,no,no
entrepreneur,married,unknown,unknown,yes,no,no
services,divorced,high.school,unknown,yes,no,no
entrepreneur,married,unknown,unknown,no,no,no
blue-collar,married,unknown,no,yes,yes,no
blue-collar,married,basic.9y,no,yes,yes,no
blue-collar,married,unknown,unknown,yes,no,no
blue-collar,married,unknown,unknown,no,no,no
technician,single,professional.course,no,yes,no,no
services,married,high.school,no,no,no,no
management,single,university.degree,no,yes,no,no
blue-collar,single,basic.9y,unknown,yes,yes,no
blue-collar,married,basic.9y,unknown,no,no,no
blue-collar,married,basic.9y,unknown,no,no,no
services,divorced,high.school,unknown,no,no,no
entrepreneur,married,basic.6y,no,no,no,no
services,married,high.school,no,yes,yes,no
admin.,divorced,unknown,unknown,no,no,no
blue-collar,married,unknown,no,no,no,no
